ticker,company,target,date,year,deal_size_mn,deal_type,ta_group,specialty,size_basis,note,source_url,upfront_musd,milestone_musd,deal_subtype,confidence
PFE,Pfizer,"Innovent Biologics (信达生物, 1801 HK)",2026-05-28,2026,10500.0,BD,Oncology,Oncology (12 early-stage programs: ADCs ,Actual,,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-and-innovent-biologics-enter-global-strategic,650.0,9850.0,BD-collaboration,HIGH
MRK,Merck & Co,Verona Pharma,2025-10-07,2025,10050.7,M&A,Cardiovascular/Metabolic,Cardiovascular/Hematology,Actual,,,,,,
PFE,Pfizer,Metsera,2025-11-07,2025,10000.0,M&A,Cardiovascular/Metabolic,Cardiovascular/Metabolic,Actual,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-acquire-metsera-and-its-next-generation-obesity,,,,,
AMGN,Amgen,Onyx Pharmaceuticals,2013-10-01,2013,9714.0,M&A,Oncology,Oncology,Actual,Kyprolis (carfilzomib): A proteasome inhibitor for multiple myeloma.,,,,,
NVS,Novartis,The Medicines Company,2020-01-06,2020,9600.0,M&A,Cardiovascular/Metabolic,Cardiovascular/Metabolic,Actual,Inclisiran (GalNAc-siRNA vs PCSK9) for LDL-C lowering; first commercial RNAi asset for Novartis CV franchise. (novartis.com),,,,,
MRK,Merck & Co,Cubist Pharmaceuticals,2015-01-21,2015,9500.0,M&A,Other,Other,Actual,Cubicin® (daptomycin) & new hospital antibiotics bolster anti-infective franchise,,,,,
ROG,Roche,InterMune,2014-09-29,2014,9396.7,M&A,Respiratory,Respiratory/Fibrosis,Actual,Esbriet® (pirfenidone) – first disease-modifying therapy for idiopathic pulmonary fibrosis; created a rare-lung franchise.,,,,,
ABBV,AbbVie,ImmunoGen,2024-02-12,2024,9200.0,M&A,Oncology,Oncology,Actual,Elahere® (FRα ADC) + IGN linker/payload platform for solid tumours,,,,,
SNY,Sanofi,Blueprint Medicines,2025-07-18,2025,8904.9,M&A,Oncology,Oncology,Actual,"Ayvakit®/Ayvakyt® (avapritinib, KIT) & BLU-808; strengthens systemic mastocytosis and GIST franchise (investopedia.com, sanofi.com)",,,,,
LLY,Eli Lilly,Innovent Biologics (1801 HK),2026-02-08,2026,8850.0,BD,Oncology,Oncology + immunology (joint novel medic,Actual,,https://www.prnewswire.com/news-releases/innovent-announces-strategic-collaboration-with-lilly-to-develop-new-medicines-globally-in-oncology-and-immunology-302682009.html,350.0,8500.0,BD-collaboration,HIGH
NVS,Novartis,Avidity Biosciences,2025-10-26,2025,8701.1,M&A,Gene/Cell Therapy,Gene Therapy,Actual,Antibody Oligonucleotide Conjugate (AOC) platform,,,,,
NVS,Novartis,AveXis,2018-05-15,2018,8700.0,M&A,Gene/Cell Therapy,Gene Therapy,Actual,Zolgensma® (onasemnogene) one-time AAV9 gene therapy for SMA; cornerstone of Novartis Gene Therapies. (novartis.com),,,,,
BMY,Bristol Myers Squibb,Systimmune,2024-04-17,2024,8400.0,BD,Oncology,Oncology,Actual,BL-B01D1 quad-specific EGFR×HER3 ADC – licence outside mainland China (news.bms.com),,,,,
ABBV,AbbVie,Cerevel Therapeutics,2024-08-01,2024,8300.0,M&A,CNS/Neurology,Cns,Actual,"Emraclidine (M4 PAM, schizophrenia) & tavapadon (D1/5 agonist, Parkinson’s)",,,,,
LLY,Eli Lilly,Centessa Pharmaceuticals,2026-03-31,2026,7800.0,M&A,CNS/Neurology,Neuroscience (OX2R orexin agonists; slee,Actual,,https://investor.lilly.com/news-releases/news-release-details/lilly-acquire-centessa-pharmaceuticals-advance-treatments-sleep,6300.0,1500.0,M&A,HIGH
BMY,Bristol Myers Squibb,DuPont Pharmaceuticals Company,2001-10-01,2001,7800.0,M&A,Other,Infectious Disease,Actual,"Sustiva™ (efavirenz), the leading NNRTI for HIV, plus Coumadin® anticoagulant and Cardiolite® imaging agent – broadened virology & CV portfolio (pharmaceuticalonline.com, tampabay.com, pharmaceuticalo",,,,,
ROG,Roche,Telavant,2023-12-14,2023,7072.2,M&A,Immunology,Immunology,Actual,RVT-3101 TL1A mAb for ulcerative colitis & Crohn’s; gives Roche a best-in-class large-molecule rival to mirikizumab / etrasimod.,,,,,
GSK,GSK,Novartis (Vaccines Business),2015-03-02,2015,7050.0,M&A,Vaccines,Vaccines,Actual,"Bexsero, Menveo: A broad portfolio of non-influenza vaccines, plus vaccine R&D pipeline.",,,,,
LLY,Eli Lilly,Kelonia Therapeutics,2026-04-20,2026,7000.0,M&A,Oncology,Cell therapy (in vivo CAR-T via iGPS len,Actual,,https://investor.lilly.com/news-releases/news-release-details/lilly-acquire-kelonia-therapeutics-advance-vivo-car-t-cell,3250.0,3750.0,M&A,HIGH
LLY,Eli Lilly,Loxo Oncology,2019-02-15,2019,6920.0,M&A,Oncology,Oncology,Actual,"Selpercatinib (Retevmo®) RET inhibitor; piperazine BTK franchise (pharmaphorum.com, fiercepharma.com)",,,,,
MRK,Merck & Co,Terns Pharmaceuticals,2026-03-25,2026,6700.0,M&A,Oncology,Oncology / hematology (CML; TERN-701 ora,Actual,,https://www.merck.com/news/merck-to-acquire-terns-pharmaceuticals-inc-expanding-its-hematology-pipeline-with-tern-701-a-novel-candidate-for-chronic-myeloid-leukemia-cml/,6700.0,0.0,M&A,HIGH
PFE,Pfizer,Arena Pharmaceuticals,2022-03-11,2022,6700.0,M&A,Immunology,Immunology/Dermatology,Actual,"Oral S1P modulator Etrasimod for ulcerative colitis & systemic IMDs (pfizer.com, pfizer.com)",,,,,
SNY,Sanofi,Boehringer Ingelheim(consumer healt!,2017-01-01,2017,6564.7,M&A,Consumer Health,Consumer Health,Actual,"Global OTC brands incl. Buscopan®, Dulcolax®, Mucosolvan® (asset swap) (news.sanofi.us)",,,,,
LLY,Eli Lilly,ImClone Systems,2008-11-24,2008,6500.0,M&A,Oncology,Oncology,Actual,Erbitux® + pipeline,,,,,
MRK,Merck & Co,Cidara Therapeutics,2025-11-14,2025,6499.8,M&A,Immunology,Immunology,Estimated,"CD388, a DFC intended for influenza prophylaxis",,,,,
ABBV,AbbVie,Stemcentrx,2016-06-01,2016,6426.0,M&A,Oncology,Oncology,Actual,Rovalpituzumab tesirine (DLL3 ADC) & tumour-initiating-cell platform,,,,,
LLY,Eli Lilly,Prevail Therapeutics,2021-01-22,2021,6159.3,M&A,Gene/Cell Therapy,Gene Therapy,Actual,"PR001 (GBA1 PD), PR004 (tauopathies) (pharmaphorum.com)",,,,,
JNJ,Johnson & Johnson,Momenta Pharmaceuticals,2020-10-01,2020,6100.0,M&A,Immunology,Immunology,Actual,"Nipocalimab (anti-FcRn mAb) for myasthenia, fetal-maternal & other allo-immune diseases (jnj.com, jnj.com)",,,,,
BMY,Bristol Myers Squibb,Mirati Therapeutics,2024-01-23,2024,5800.0,M&A,Oncology,Oncology,Actual,"Krazati® (adagrasib) KRAS-G12C inhibitor and follow-on SOS1 / PRMT5 programs – deepens lung-cancer precision toolkit (news.bms.com, investopedia.com)",,,,,
PFE,Pfizer,Global Blood Therapeutics,2022-10-05,2022,5700.0,M&A,Other,Haematology,Actual,"Sickle-cell disease drug Oxbryta® and next-gen GBT-601, incl. paediatric program (pfizer.com, pfizer.com)",,,,,
ABBV,AbbVie,RemeGen (荣昌生物) — RC148 PD-1xVEGF bispecific,2026-01-12,2026,5600.0,BD,Oncology,Oncology (advanced solid tumors / NSCLC),Actual,,https://news.abbvie.com/2026-01-12-AbbVie-and-RemeGen-Announce-Exclusive-Licensing-Agreement-to-Develop-A-Novel-Bispecific-Antibody-for-Advanced-Solid-Tumors,650.0,4950.0,BD-license,HIGH
NVS,Novartis,Chiron (Biotechnology),2006-04-20,2006,5400.0,M&A,Vaccines,Vaccines,Actual,Fluvirin® influenza vaccines & blood-screening diagnostics; created Novartis Vaccines unit (later sold to GSK). (gsk.com),,,,,
NVS,Novartis,Xiidra,2019-07-01,2019,5400.0,M&A,Ophthalmology,Ophthalmology,Actual,Lifitegrast 5 % eye-drops—the only Rx therapy targeting dry-eye inflammation. (novartis.com),,,,,
ROG,Roche,Spark Therapeutics,2019-12-17,2019,5226.0,M&A,Gene/Cell Therapy,Gene Therapy,Actual,Luxturna® (RPE65) + AAV platform for haemophilia A & CNS; cornerstone of Roche in-house gene-therapy unit.,,,,,
BMY,Bristol Myers Squibb,Amylin Pharmaceuticals,2012-08-08,2012,5218.0,M&A,Cardiovascular/Metabolic,Cardiovascular/Metabolic,Actual,"GLP-1 franchise Byetta® / Bydureon® (exenatide) and obesity pipeline, co-promoted with AZ to diversify beyond oncology (news.bms.com)",,,,,
NVS,Novartis,Argo Biopharma,2025-09-03,2025,5200.0,M&A,Cardiovascular/Metabolic,Cardiovascular/Metabolic,Actual,https://www.argobiopharma.com/news/153.html,,,,,
NVO,Novo Nordisk,Akero Therapeutics,2025-10-09,2025,5200.0,M&A,Cardiovascular/Metabolic,Cardiovascular/Metabolic,Actual,https://ir.akerotx.com/news-releases/news-release-details/akero-therapeutics-be-acquired-novo-nordisk-52-billion/,,,,,
JNJ,Johnson & Johnson,Centocor,1999-10-06,1999,5100.0,M&A,Immunology,Immunology,Actual,Infliximab (Remicade®) TNF inhibitor and first true biotech blockbuster (ourstory.jnj.com),,,,,
GSK,GSK,Tesaro,2019-01-22,2019,5000.0,M&A,Oncology,Oncology,Actual,Zejula (niraparib): A PARP inhibitor for ovarian cancer.,,,,,
PFE,Pfizer,Anacor Pharmaceuticals,2016-06-24,2016,4900.0,M&A,Immunology,Immunology/Dermatology,Actual,"First-in-class topical PDE-4 inhibitor Eucrisa® for atopic dermatitis (pfizer.com, reuters.com)",,,,,
SNY,Sanofi,Ablynx,2018-05-14,2018,4716.3,M&A,Cardiovascular/Metabolic,Hematology,Actual,"Cablivi® (caplacizumab) anti-vWF nanobody & VHH discovery engine (globenewswire.com, fiercebiotech.com)",,,,,
BMY,Bristol Myers Squibb,ImClone Systems,2008-09-23,2008,4500.0,M&A,Oncology,Oncology,Actual,"Erbitux® (cetuximab) EGFR mAb for CRC/HNSCC, plus an antibody-engineering engine that fed BMS’s IO platforms (news.bms.com)",,,,,
AZN,AstraZeneca,Bristol-Myers Squibb (Diabetes Busines,2014-02-01,2014,4100.0,M&A,Cardiovascular/Metabolic,Endocrinology/Metabolic,Estimated,"SGLT-2 inhibitor dapagliflozin (Farxiga®) franchise, incretin combos",,,,,
SNY,Sanofi,Merial,2009-07-30,2009,4000.0,M&A,Other,Animal-Health,Actual,Full control of Frontline®/Heartgard® franchise; pre-cursor to Boehringer swap,,,,,
AZN,AstraZeneca,Acerta Pharma,2016-02-02,2016,4000.0,M&A,Oncology,Oncology,Estimated,BTK inhibitor acalabrutinib (Calquence®) for B-cell malignancies,,,,,
NVS,Novartis,Advanced Accelerator Applications,2017-10-30,2017,3900.0,M&A,Oncology,Oncology,Actual,Lutathera,,,,,
MRK,Merck & Co,Idenix Pharmaceuticals,2014-08-05,2014,3900.0,M&A,Other,Other,Actual,"Nuc-based hepatitis-C antivirals (e.g., IDX-21437) expanding HCV pipeline",,,,,
BMY,Bristol Myers Squibb,RayzeBio,2024-01-02,2024,3873.0,M&A,Oncology,Oncology,Actual,"Actinium-225 platform & RYZ101 (Ac-DOTATATE) targeting SSTR2 for GEP-NETs; first α-emitter in BMS toolkit (news.bms.com, news.bms.com, news.bms.com, sec.gov, finance.yahoo.com)",,,,,
AMGN,Amgen,Chemocentryx,2022-10-20,2022,3700.0,M&A,Rare Disease,Rare Disease,Actual,"Tavneos (avacopan): A first-in-class, oral C5a receptor inhibitor for ANCA-associated vasculitis.",,,,,
SNY,Sanofi,Principia Biopharma,2020-09-28,2020,3680.0,M&A,Immunology,Immunology,Actual,"SAR443168 brain-penetrant BTK inhibitor for MS & neuro-auto-immunity (sanofi.com, axios.com)",,,,,
GSK,GSK,Stiefel Laboratories,2009-07-22,2009,3631.4,M&A,Dermatology/Aesthetics,Dermatology,Actual,"A leading, fully integrated dermatology business with a broad portfolio of products.",,,,,
PFE,Pfizer,King Pharmaceuticals,2011-02-28,2011,3600.0,M&A,Other,Other,Actual,"Abuse-deterrent opioids (Embeda®) & EpiPen® auto-injector platform (pfizer.com, en.wikipedia.org)",,,,,
BMY,Bristol Myers Squibb,Turning Point Therapeutics,2022-08-17,2022,3506.1,M&A,Oncology,Oncology,Actual,"Repotrectinib ROS1/NTRK inhibitor positioned for 1L ROS1+ NSCLC, plus next-gen ALK/SOS1 pipeline (news.bms.com, axios.com)",,,,,
ROG,Roche,Ventana Medical Systems,2008-02-19,2008,3400.0,M&A,Diagnostics,Diagnostics,Actual,Automated IHC/ISH instruments & companion-diagnostic kits – locked in vertical integration for onco-biomarker launches.,,,,,
NVS,Novartis,Chinook Therapeutics,2023-08-11,2023,3300.0,M&A,Cardiovascular/Metabolic,Cardiovascular/Metabolic,Actual,Atrasentan (ET-A) & zigakibart (APRIL mAb) for IgA nephropathy; expands cardio-renal pipeline. (novartis.com),,,,,
ROG,Roche,Carmot Therapeutics,2024-01-26,2024,3300.0,M&A,Cardiovascular/Metabolic,Cardiovascular/Metabolic,Actual,"Oral & once-weekly GLP-1/GIP agonists (CT-388, CT-996) – expands beyond tirzepatide competitors.",,,,,
NVO,Novo Nordisk,Dicerna Pharmaceuticals,2021-12-28,2021,3300.0,M&A,Gene/Cell Therapy,Gene Therapy,Actual,GalXC™ siRNA platform (incl. nedosiran) to create liver-targeted RNAi drugs for dyslipidaemia & NASH (businesswire.com),,,,,
NVS,Novartis,Anthos Therapeutics,2025-04-03,2025,3100.0,M&A,Cardiovascular/Metabolic,Cardiovascular/Metabolic,Actual,Abelacimab (FXI mAb) for VTE & AF stroke-prevention; re-acquired minority partner. (ft.com),,,,,
JNJ,Johnson & Johnson,Halda Therapeutics,2025-11-17,2025,3050.0,M&A,Other,Other,Actual,drug discovery platform,,,,,
MRK,Merck & Co,EyeBio,2024-07-11,2024,3044.0,M&A,Ophthalmology,Ophthalmology,Estimated,Restoret™ tri-specific Ab for diabetic macular edema & nAMD,,,,,
SNY,Sanofi,Translate Bio,2021-09-14,2021,3041.7,M&A,Vaccines,Vaccines,Actual,"mRNA vaccine platform (SARS-CoV-2, influenza) & MRT5005 (CF) (sanofi.com, sanofi.com)",,,,,
NVS,Novartis,Synnovation Therapeutics (via Pikavation subsidiary) — SNV4818 PI3Kα,2026-03-19,2026,3000.0,M&A,Oncology,Oncology (HR+/HER2- breast cancer; pan-m,Actual,,https://www.novartis.com/news/media-releases/novartis-agrees-acquire-pan-mutant-selective-pi3ka-inhibitor-strengthening-its-breast-cancer-pipeline,2000.0,1000.0,M&A,HIGH
GSK,GSK,Affinivax,2022-08-15,2022,3000.0,M&A,Vaccines,Vaccines,Actual,Next-generation pneumococcal vaccine candidate and MAPS technology platform.,,,,,
NVS,Novartis,MorphoSys,2023-12-31,2023,2947.8,M&A,Oncology,Oncology,Actual,Pelabresib (BET-i) + tafasitamab combo for myelofibrosis; enriches haema-onc late stage. (novartis.com),,,,,
SNY,Sanofi,Provention Bio,2023-04-27,2023,2900.0,M&A,Immunology,Immunology,Actual,Tzield™ (teplizumab) first disease-modifying therapy to delay type 1 diabetes (sanofi.com),,,,,
BMY,Bristol Myers Squibb,IFM Therapeutics,2017-09-06,2017,2800.0,M&A,Immunology,Immunology,Actual,"STING & NLRP3 agonist programs to ignite “cold” tumours; STING lead advanced to BMS-986301 (news.bms.com, news.bms.com, news.bms.com, investors.bms.com)",,,,,
MRK,Merck & Co,VelosBio,2020-12-18,2020,2800.0,M&A,Oncology,Oncology,Actual,VLS-101 ROR1-directed antibody-drug conjugate (ADC) for hematologic & solid tumours,,,,,
LLY,Eli Lilly,Insilico Medicine (晶泰/InSilico),2026-03-29,2026,2750.0,BD,Other,AI drug discovery (oral preclinical ther,Actual,,https://www.biopharmadive.com/news/eli-lilly-insilico-ai-medicine-drug-discovery/816088/,115.0,2635.0,BD-license,HIGH
AZN,AstraZeneca,ZS Pharma,2015-12-17,2015,2700.0,M&A,Cardiovascular/Metabolic,Cardiovascular/Hematology,Actual,Sodium-zirconium cyclosilicate (Lokelma®) for hyperkalaemia in CKD/heart-failure,,,,,
MRK,Merck & Co,ArQule,2020-01-16,2020,2700.0,M&A,Oncology,Oncology,Actual,MK-1026 (ARQ-531) reversible BTK inhibitor for B-cell cancers,,,,,
SNY,Sanofi,Earendil Labs (Helixon-affiliated) — bispecific antibodies,2026-01-05,2026,2560.0,BD,Immunology,Autoimmune & inflammatory disease bispec,Actual,,https://www.prnewswire.com/news-releases/earendil-labs-announces-strategic-collaboration-with-sanofi-to-discover-bispecific-antibodies-for-autoimmune-diseases-302652305.html,160.0,2400.0,BD-collaboration,MEDIUM
BMY,Bristol Myers Squibb,Inhibitex,2012-02-13,2012,2539.0,M&A,Other,Infectious Disease,Actual,INX-189 nucleotide polymerase inhibitor for HCV (reuters.com),,,,,
LLY,Eli Lilly,Scorpion Therapeutics,2025-01-11,2025,2500.0,M&A,Oncology,Oncology,Actual,"STX-478 mutant-selective PI3Kα inhibitor (investor.lilly.com, prnewswire.com)",,,,,
SNY,Sanofi,Synthorx,2020-01-23,2020,2500.0,M&A,Oncology,Oncology,Actual,"SAR444245 (THOR-707) synthetic IL-2 & Synthorx eXtended Genetic Alphabet platform (sanofi.com, fiercebiotech.com)",,,,,
LLY,Eli Lilly,Orna Therapeutics,2026-02-09,2026,2400.0,M&A,Immunology,Cell therapy (in vivo CAR-T via circular,Actual,,https://investor.lilly.com/news-releases/news-release-details/lilly-acquire-orna-therapeutics-advance-cell-therapies,,,M&A,MEDIUM
JNJ,Johnson & Johnson,Scios (Drug Discovery),2003-04-29,2003,2400.0,M&A,Cardiovascular/Metabolic,Cardiovascular/Metabolic,Actual,Natrecor® (nesiritide) recombinant BNP for acute decompensated heart failure (clinicalleader.com),,,,,
LLY,Eli Lilly,DlCE Therapeutics,2023-08-09,2023,2400.0,M&A,Immunology,Immunology,Actual,Oral IL-17 allosteric inhibitors (DC-806/853) (investor.lilly.com),,,,,
JNJ,Johnson & Johnson,Crucell,2011-02-22,2011,2385.4,M&A,Vaccines,Vaccines,Actual,PER.C6® cell-line tech & Ebola/ RSV vaccine programs—entry into prophylactic vaccines (biopharminternational.com),,,,,
MRK,Merck & Co,Peloton Therapeutics,2019-09-20,2019,2350.0,M&A,Oncology,Oncology,Estimated,Belzutifan (HIF-2α inhibitor) for renal-cell carcinoma,,,,,
SNY,Sanofi,Zentiva Group (XBRA: 1SKF401E),2009-02-20,2009,2318.6,M&A,Gene/Cell Therapy,Generics,Actual,"Central- & Eastern-European branded-generics leader (cardiovascularbusiness.com, pharmatimes.com)",,,,,
LLY,Eli Lilly,ICOS,2007-01-29,2007,2300.0,M&A,Other,Other,Actual,Full Cialis® rights (investor.lilly.com),,,,,
JNJ,Johnson & Johnson,Ambrx,2024-03-07,2024,2300.0,M&A,Oncology,Oncology,Actual,"ARX-517 (PSMA) & ARX-788 (HER2) plus synthetic-biology ADC platform to expand solid-tumor pipeline (jnj.com, bioprocessintl.com)",,,,,
BMY,Bristol Myers Squibb,Medarex,2009-09-01,2009,2300.0,M&A,Immunology,Immunology,Actual,Nivolumab (PD-1) & fully human Ab platform – bedrock of BMS IO franchise (news.bms.com),,,,,
LLY,Eli Lilly,Ajax Therapeutics,2026-04-27,2026,2300.0,M&A,Oncology,Oncology/heme (Type II JAK2 inhibitor AJ,Actual,,https://www.prnewswire.com/news-releases/lilly-to-acquire-ajax-therapeutics-to-advance-outcomes-for-patients-with-myelofibrosis-and-polycythemia-vera-302753832.html,,,M&A,HIGH
MRK,Merck & Co,Quotient Therapeutics (Flagship Pioneering),2026-03-24,2026,2200.0,BD,Immunology,Immunology / inflammatory bowel disease ,Actual,,https://quotient-tx.com/news/quotient-therapeutics-announces-collaboration-with-merck-to-discover-novel-drug-targets-in-inflammatory-bowel-disease-using-somatic-genomics-platform-technology,20.0,2180.0,BD-collaboration,HIGH
GSK,GSK,RAPT Therapeutics,2026-01-20,2026,2200.0,M&A,Immunology,Respiratory/I&I — food allergy (ozurepru,Actual,,https://www.gsk.com/en-gb/media/press-releases/gsk-enters-agreement-to-acquire-rapt-therapeutics/,2200.0,0.0,M&A,HIGH
MRK,Merck & Co,Pandion Therapeutics,2019-05-21,2019,2200.0,M&A,Immunology,Immunology,Estimated,PT101 IL-2 mutein that selectively expands T-regs for IBD & other IMDs,,,,,
NVS,Novartis,Eon Labs,2005-07-21,2005,2189.4,M&A,Gene/Cell Therapy,Generics,Actual,U.S. oral-solids generics base to bolster Sandoz. (biospace.com),,,,,
